基金全称,西部利得量化优选一年持有期混合型证券投资基金,基金简称,西部利得量化优选一年持有C
基金代码,010780（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年12月25日,成立日期/规模,2021年01月19日 / 4.027亿份
资产规模,0.77亿元（截止至：2025年06月30日）份额规模0.6774亿份（截止至：2025年06月30日）,份额规模,0.6774亿份（截止至：2025年06月30日）
基金管理人,西部利得基金,基金托管人,光大银行
基金经理人,翟梓舰,成立来分红,每份累计0.27元（12次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证500指数收益率*75%+中债综合全价(总值)指数收益率*25%,跟踪标的,该基金无跟踪标的
