基金全称,中信建投睿选6个月持有期混合型基金中基金(FOF),基金简称,中信建投睿选6个月持有混合(FOF)C
基金代码,013845（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2021年10月25日,成立日期/规模,2021年11月02日 / 3.317亿份
资产规模,0.27亿元（截止至：2025年06月30日）份额规模0.3605亿份（截止至：2025年06月30日）,份额规模,0.3605亿份（截止至：2025年06月30日）
基金管理人,中信建投基金,基金托管人,北京银行
基金经理人,刘宁,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证偏股型基金指数收益率*90%+银行活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
