基金全称,长江智选3个月持有期混合型基金中基金(FOF),基金简称,长江智选3个月持有混合(FOF)C
基金代码,014936（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2010年01月06日,成立日期/规模,2022年01月28日 / --
资产规模,0.02亿元（截止至：2025年06月30日）份额规模0.0144亿份（截止至：2025年06月30日）,份额规模,0.0144亿份（截止至：2025年06月30日）
基金管理人,长江证券(上海)资管,基金托管人,招商银行
基金经理人,李仁宇,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证金选偏股基金策略指数收益率*90%+中债-综合全价(总值)指数收益率*10%,跟踪标的,该基金无跟踪标的
