基金全称,广发锐意进取3个月持有期混合型发起式基金中基金(FOF),基金简称,广发锐意进取3个月持有混合(FOF)C
基金代码,009322（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2019年11月04日,成立日期/规模,2020年04月28日 / --
资产规模,0.72亿元（截止至：2025年06月30日）份额规模0.5583亿份（截止至：2025年06月30日）,份额规模,0.5583亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,中国银行
基金经理人,曹建文,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证股票型基金指数收益率*75%+中证债券型基金指数收益率*20%+银行活期存款利率(税后)*5%,跟踪标的,该基金无跟踪标的
