基金全称,国泰行业轮动股票型基金中基金(FOF-LOF),基金简称,国泰行业轮动股票(FOF-LOF)C
基金代码,014197（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2022年04月29日,成立日期/规模,2022年07月19日 / 2.250亿份
资产规模,0.01亿元（截止至：2025年06月30日）份额规模0.0142亿份（截止至：2025年06月30日）,份额规模,0.0142亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,中信建投
基金经理人,曾辉,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*80%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
