基金全称,平安中证500交易型开放式指数证券投资基金联接基金,基金简称,平安500ETF联接C
基金代码,006215（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2018年08月03日,成立日期/规模,2018年09月05日 / 2.639亿份
资产规模,2.84亿元（截止至：2025年06月30日）份额规模2.5175亿份（截止至：2025年06月30日）,份额规模,2.5175亿份（截止至：2025年06月30日）
基金管理人,平安基金,基金托管人,平安银行
基金经理人,李严,成立来分红,每份累计0.26元（1次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.10%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证500指数
