基金全称,同泰新能源优选1年持有期股票型证券投资基金,基金简称,同泰新能源1年持有股票C
基金代码,015146（前端）基金类型股票型,基金类型,股票型
发行日期,2022年07月20日,成立日期/规模,2022年09月29日 / 2.033亿份
资产规模,0.15亿元（截止至：2025年06月30日）份额规模0.1697亿份（截止至：2025年06月30日）,份额规模,0.1697亿份（截止至：2025年06月30日）
基金管理人,同泰基金,基金托管人,兴业银行
基金经理人,陈宗超,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证新能源产业指数收益率*60%+恒生能源业指数收益率*25%+中债综合全价(总值)指数收益率*15%,跟踪标的,该基金无跟踪标的
