基金全称,鹏华中证A股资源产业指数型证券投资基金(LOF),基金简称,鹏华中证A股资源产业指数(LOF)C
基金代码,012808（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2012年08月27日,成立日期/规模,2021年07月19日 / --
资产规模,0.18亿元（截止至：2025年06月30日）份额规模0.1584亿份（截止至：2025年06月30日）,份额规模,0.1584亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,工商银行
基金经理人,闫冬,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.10%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证A股资源产业指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,A股资源
