基金全称,融通稳信增益6个月持有期混合型证券投资基金,基金简称,融通稳信增益6个月持有期混合C
基金代码,012525（前端）基金类型混合型-偏债,基金类型,混合型-偏债
发行日期,2021年11月05日,成立日期/规模,2022年01月25日 / 2.391亿份
资产规模,0.15亿元（截止至：2025年09月30日）份额规模0.1194亿份（截止至：2025年09月30日）,份额规模,0.1194亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,中信银行
基金经理人,何龙、张彩婷,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.15%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,沪深300指数收益率*15%+中证香港100指数收益率*5%+中债综合全价(总值)指数收益率*80%,跟踪标的,该基金无跟踪标的
