基金全称,工银瑞信安裕积极一年持有期混合型基金中基金(FOF),基金简称,工银安裕积极一年持有混合(FOF)C
基金代码,016147（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2022年08月15日,成立日期/规模,2022年08月31日 / 2.308亿份
资产规模,0.50亿元（截止至：2025年06月30日）份额规模0.5104亿份（截止至：2025年06月30日）,份额规模,0.5104亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,光大银行
基金经理人,陈涵,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证800指数收益率*70%+中债新综合(财富)指数收益率*25%+南华商品指数收益率*5%,跟踪标的,该基金无跟踪标的
