基金全称,东吴新经济混合型证券投资基金,基金简称,东吴新经济混合C
基金代码,012617（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2009年11月12日,成立日期/规模,2021年06月09日 / --
资产规模,0.32亿元（截止至：2025年06月30日）份额规模0.3981亿份（截止至：2025年06月30日）,份额规模,0.3981亿份（截止至：2025年06月30日）
基金管理人,东吴基金,基金托管人,建设银行
基金经理人,徐慢,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数*75%+中证全债指数*25%,跟踪标的,该基金无跟踪标的
