基金全称,国泰国证有色金属行业指数证券投资基金(LOF),基金简称,国泰国证有色金属行业指数(LOF)A
基金代码,160221（主代码）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年03月16日,成立日期/规模,2015年03月30日 / 4.166亿份
资产规模,11.69亿元（截止至：2025年06月30日）份额规模8.4307亿份（截止至：2025年06月30日）,份额规模,8.4307亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,建设银行
基金经理人,吴中昊,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,国证有色金属行业指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,国证有色金属行业指数
