基金全称,广发积极优势混合型基金中基金(FOF-LOF),基金简称,广发积极优势混合(FOF-LOF)C
基金代码,013954（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2022年03月28日,成立日期/规模,2022年06月09日 / 4.090亿份
资产规模,0.08亿元（截止至：2025年06月30日）份额规模0.081亿份（截止至：2025年06月30日）,份额规模,0.081亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,浦发银行
基金经理人,杨喆,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*70%+人民币计价的恒生指数收益率*5%+中债-综合全价(总值)指数收益率*25%,跟踪标的,该基金无跟踪标的
