排序	编码		名称		类型		2025-09-22	2025-10-21	净增长	增长率
1	022180	新沃中债0-3年政策性金融债指数C		指数型-固收		0.9573		1.1512		0.1939	20.25%
2	008987	广发上海金ETF联接C		指数型-其他		1.7769		2.0945		0.3176	17.87%
3	014662	天弘上海金ETF发起联接C		指数型-其他		1.8800		2.2144		0.3344	17.79%
4	009505	富国上海金ETF联接C		指数型-其他		1.7715		2.0820		0.3105	17.53%
5	009034	建信上海金ETF联接C		指数型-其他		1.9502		2.2914		0.3412	17.5%
6	008702	华夏黄金ETF联接C		指数型-其他		1.8235		2.1407		0.3172	17.4%
7	000217	华安黄金易ETF联接C		指数型-其他		2.8501		3.3430		0.4929	17.29%
8	002963	易方达黄金ETF联接C		指数型-其他		2.6934		3.1582		0.4648	17.26%
9	004253	国泰黄金ETF联接C		指数型-其他		2.9814		3.4954		0.514	17.24%
10	008143	工银黄金ETF联接C		指数型-其他		1.8904		2.2148		0.3244	17.16%
11	021740	前海开源黄金ETF联接C		指数型-其他		1.9472		2.2801		0.3329	17.1%
12	018392	南方上海金ETF联接C		指数型-其他		1.7207		2.0084		0.2877	16.72%
13	016582	嘉实上海金ETF发起联接C		指数型-其他		1.7546		2.0445		0.2899	16.52%
14	019005	国投瑞银白银期货(LOF)C		商品		1.1590		1.3451		0.1861	16.06%
15	018156	创金合信全球医药生物股票发起(QDII)C		QDII-普通股票		1.3244		1.5308		0.2064	15.58%
16	022607	汇安行业龙头混合C		混合型-偏股		2.1418		2.4711		0.3293	15.37%
17	013596	招商中证煤炭等权指数(LOF)C		指数型-股票		1.9427		2.2026		0.2599	13.38%
18	017193	天弘中证工业有色金属主题指数发起C		指数型-股票		1.3620		1.5370		0.175	12.85%
19	016708	华夏有色金属ETF联接C		指数型-股票		1.4150		1.5922		0.1772	12.52%
20	013081	中信保诚中证800有色指数(LOF)C		指数型-股票		2.2321		2.5099		0.2778	12.45%
21	018490	万家中证工业有色金属主题ETF发起式联接C		指数型-股票		1.2817		1.4406		0.1589	12.4%
22	022084	华安中证有色金属矿业主题指数发起式C		指数型-股票		1.4775		1.6578		0.1803	12.2%
23	005661	嘉实资源精选股票C		股票型		3.7328		4.1872		0.4544	12.17%
24	014951	汇安润阳三年持有期混合C		混合型-偏股		1.0072		1.1296		0.1224	12.15%
25	003625	创金合信资源股票发起式C		股票型		3.0731		3.4430		0.3699	12.04%
26	011631	东财有色增强C		指数型-股票		1.7059		1.9113		0.2054	12.04%
27	019165	汇添富中证细分有色金属产业主题ETF发起式联接C		指数型-股票		1.5845		1.7720		0.1875	11.83%
28	018133	博时中证有色金属矿业主题指数C		指数型-股票		1.3551		1.5152		0.1601	11.81%
29	012867	易方达标普生物科技美元汇C		指数型-海外股票		0.1942		0.2171		0.0229	11.79%
30	021297	鹏华国证有色金属行业ETF发起式联接C		指数型-股票		1.3741		1.5360		0.1619	11.78%
31	019889	中欧周期优选混合发起C		混合型-偏股		1.5064		1.6828		0.1764	11.71%
32	015146	同泰新能源1年持有股票C		股票型		1.0012		1.1174		0.1162	11.61%
33	018023	华商上游产业股票C		股票型		3.1324		3.4950		0.3626	11.58%
34	015596	国泰国证有色金属行业指数(LOF)C		指数型-股票		1.8203		2.0308		0.2105	11.56%
35	012866	易方达标普生物科技人民币C		指数型-海外股票		1.3806		1.5400		0.1594	11.55%
36	025209	永赢先锋半导体智选混合发起C		混合型-偏股		1.0829		1.2070		0.1241	11.46%
37	004433	南方中证申万有色金属ETF发起联接C		指数型-股票		1.4749		1.6399		0.165	11.19%
38	018168	国泰有色矿业ETF联接C		指数型-股票		1.4266		1.5848		0.1582	11.09%
39	023037	中欧资源精选混合发起C		混合型-偏股		1.4018		1.5563		0.1545	11.02%
40	017141	华宝中证有色金属ETF发起式联接C		指数型-股票		1.3108		1.4551		0.1443	11.01%
41	021461	国投瑞银中证资源指数(LOF)C		指数型-股票		1.7299		1.9202		0.1903	11.0%
42	010612	万家战略发展产业混合C		混合型-偏股		1.0302		1.1417		0.1115	10.82%
43	011607	民生中证内地资源主题指数C		指数型-股票		1.3168		1.4559		0.1391	10.56%
44	011068	华宝资源优选混合C		混合型-偏股		4.2110		4.6520		0.441	10.47%
45	018656	新华行业周期轮换混合C		混合型-偏股		1.1726		1.2938		0.1212	10.34%
46	007978	易方达黄金主题美元现汇C		QDII-商品		0.2059		0.2267		0.0208	10.1%
47	013845	中信建投睿选6个月持有混合(FOF)C		FOF-进取型		0.8407		0.9242		0.0835	9.93%
48	007976	易方达黄金主题人民币C		QDII-商品		1.4642		1.6081		0.1439	9.83%
49	016814	国联中证煤炭指数C		指数型-股票		1.7650		1.9380		0.173	9.8%
50	018505	景顺长城周期优选混合C		混合型-偏股		1.5992		1.7528		0.1536	9.6%
51	023449	上银资源精选混合发起式C		混合型-偏股		1.3088		1.4342		0.1254	9.58%
